Local time,Open,High,Low,Close,Volume
04.03.2019 01:00:00.000 GMT+0100,1.13749,1.13750,1.13090,1.13362,406415.6563
05.03.2019 01:00:00.000 GMT+0100,1.13363,1.13384,1.12895,1.13060,394725.25
06.03.2019 01:00:00.000 GMT+0100,1.13059,1.13245,1.12855,1.13129,322848.125
07.03.2019 01:00:00.000 GMT+0100,1.13130,1.13202,1.11764,1.11980,390830.4063
08.03.2019 01:00:00.000 GMT+0100,1.11980,1.12461,1.11852,1.12311,374351
10.03.2019 01:00:00.000 GMT+0100,1.12316,1.12374,1.12304,1.12315,7755.2598
11.03.2019 01:00:00.000 GMT+0100,1.12315,1.12738,1.12217,1.12591,323944.1563
12.03.2019 01:00:00.000 GMT+0100,1.12590,1.13049,1.12492,1.12865,320871.9375
13.03.2019 01:00:00.000 GMT+0100,1.12864,1.13385,1.12773,1.13303,305061.0625
14.03.2019 01:00:00.000 GMT+0100,1.13304,1.13361,1.12940,1.13064,328504.875
15.03.2019 01:00:00.000 GMT+0100,1.13066,1.13443,1.13000,1.13240,289446.9688
17.03.2019 01:00:00.000 GMT+0100,1.13201,1.13277,1.13189,1.13192,6321.3701
18.03.2019 01:00:00.000 GMT+0100,1.13193,1.13589,1.13192,1.13360,256610.2188
19.03.2019 01:00:00.000 GMT+0100,1.13360,1.13615,1.13336,1.13542,272290.75
20.03.2019 01:00:00.000 GMT+0100,1.13543,1.14480,1.13354,1.14284,367710.75
21.03.2019 01:00:00.000 GMT+0100,1.14282,1.14373,1.13425,1.13737,355410.4063
22.03.2019 01:00:00.000 GMT+0100,1.13737,1.13905,1.12732,1.13004,402377.6563
24.03.2019 01:00:00.000 GMT+0100,1.12892,1.13011,1.12883,1.12955,8383.6602
25.03.2019 01:00:00.000 GMT+0100,1.12956,1.13314,1.12889,1.13151,341816.0313
26.03.2019 01:00:00.000 GMT+0100,1.13152,1.13259,1.12632,1.12738,336568.125
27.03.2019 01:00:00.000 GMT+0100,1.12737,1.12855,1.12421,1.12521,422556.4375
28.03.2019 01:00:00.000 GMT+0100,1.12518,1.12612,1.12135,1.12298,426452.1875
29.03.2019 01:00:00.000 GMT+0100,1.12297,1.12466,1.12098,1.12179,424280.375
31.03.2019 01:00:00.000 GMT+0100,1.12254,1.12312,1.12199,1.12231,10782.1797
01.04.2019 02:00:00.000 GMT+0200,1.12231,1.12498,1.11984,1.12049,414214.375
02.04.2019 02:00:00.000 GMT+0200,1.12049,1.12160,1.11836,1.12032,437698.1563
03.04.2019 02:00:00.000 GMT+0200,1.12032,1.12547,1.12019,1.12446,464945.6563
04.04.2019 02:00:00.000 GMT+0200,1.12447,1.12475,1.12059,1.12222,382615.9063
05.04.2019 02:00:00.000 GMT+0200,1.12222,1.12472,1.12099,1.12142,331661.3438
07.04.2019 02:00:00.000 GMT+0200,1.12138,1.12213,1.12118,1.12181,7693.8501
08.04.2019 02:00:00.000 GMT+0200,1.12181,1.12744,1.12148,1.12555,386557.5313
09.04.2019 02:00:00.000 GMT+0200,1.12557,1.12842,1.12554,1.12655,384052.25
10.04.2019 02:00:00.000 GMT+0200,1.12654,1.12876,1.12294,1.12758,433096.7813
11.04.2019 02:00:00.000 GMT+0200,1.12759,1.12873,1.12498,1.12601,382614.5938
12.04.2019 02:00:00.000 GMT+0200,1.12602,1.13239,1.12572,1.12976,401664.2813
14.04.2019 02:00:00.000 GMT+0200,1.13035,1.13072,1.12991,1.13028,10414.8799
15.04.2019 02:00:00.000 GMT+0200,1.13029,1.13209,1.12975,1.13043,376604.9688
16.04.2019 02:00:00.000 GMT+0200,1.13044,1.13139,1.12788,1.12845,478236.75
17.04.2019 02:00:00.000 GMT+0200,1.12845,1.13237,1.12813,1.12965,394230.75
18.04.2019 02:00:00.000 GMT+0200,1.12964,1.13039,1.12261,1.12349,411987.1875
19.04.2019 02:00:00.000 GMT+0200,1.12349,1.12476,1.12323,1.12408,106163.7969
21.04.2019 02:00:00.000 GMT+0200,1.12408,1.12452,1.12373,1.12440,6034.6099
22.04.2019 02:00:00.000 GMT+0200,1.12440,1.12620,1.12357,1.12584,184842.3281
23.04.2019 02:00:00.000 GMT+0200,1.12585,1.12612,1.11921,1.12237,366794.0938
24.04.2019 02:00:00.000 GMT+0200,1.12239,1.12241,1.11406,1.11533,396092.9375
25.04.2019 02:00:00.000 GMT+0200,1.11534,1.11623,1.11178,1.11353,346843.25
26.04.2019 02:00:00.000 GMT+0200,1.11353,1.11739,1.11111,1.11429,341314.0938
28.04.2019 02:00:00.000 GMT+0200,1.11441,1.11516,1.11441,1.11494,8087.2598
29.04.2019 02:00:00.000 GMT+0200,1.11494,1.11869,1.11450,1.11848,285596.4375
30.04.2019 02:00:00.000 GMT+0200,1.11847,1.12290,1.11757,1.12157,320017.5625
01.05.2019 02:00:00.000 GMT+0200,1.12157,1.12647,1.11870,1.12024,243803.0938
02.05.2019 02:00:00.000 GMT+0200,1.12023,1.12190,1.11707,1.11729,302647.875
03.05.2019 02:00:00.000 GMT+0200,1.11728,1.12047,1.11350,1.12007,332884.1563
05.05.2019 02:00:00.000 GMT+0200,1.11799,1.12003,1.11672,1.11846,20415.4902
06.05.2019 02:00:00.000 GMT+0200,1.11846,1.12092,1.11790,1.12010,307459.6875
07.05.2019 02:00:00.000 GMT+0200,1.12011,1.12178,1.11666,1.11895,342101.75
08.05.2019 02:00:00.000 GMT+0200,1.11893,1.12136,1.11827,1.11977,370041.2188
09.05.2019 02:00:00.000 GMT+0200,1.11977,1.12509,1.11734,1.12184,410143.5938
10.05.2019 02:00:00.000 GMT+0200,1.12185,1.12536,1.12177,1.12329,366677.1563
12.05.2019 02:00:00.000 GMT+0200,1.12320,1.12408,1.12299,1.12357,10570.2695
13.05.2019 02:00:00.000 GMT+0200,1.12358,1.12635,1.12191,1.12320,330177.5
14.05.2019 02:00:00.000 GMT+0200,1.12320,1.12439,1.12011,1.12032,312740.9688
15.05.2019 02:00:00.000 GMT+0200,1.12031,1.12245,1.11779,1.12068,344234.0313
16.05.2019 02:00:00.000 GMT+0200,1.12069,1.12238,1.11662,1.11731,330368.4375
17.05.2019 02:00:00.000 GMT+0200,1.11730,1.11841,1.11551,1.11563,348250.1875
19.05.2019 02:00:00.000 GMT+0200,1.11598,1.11666,1.11598,1.11646,9331.1104
20.05.2019 02:00:00.000 GMT+0200,1.11646,1.11748,1.11506,1.11673,305009.75
21.05.2019 02:00:00.000 GMT+0200,1.11673,1.11880,1.11419,1.11643,333000.625
22.05.2019 02:00:00.000 GMT+0200,1.11643,1.11802,1.11485,1.11552,286002.5
23.05.2019 02:00:00.000 GMT+0200,1.11553,1.11875,1.11070,1.11841,368229.4063
24.05.2019 02:00:00.000 GMT+0200,1.11841,1.12121,1.11771,1.12043,308644
26.05.2019 02:00:00.000 GMT+0200,1.12091,1.12116,1.12067,1.12068,8195.25
27.05.2019 02:00:00.000 GMT+0200,1.12067,1.12151,1.11869,1.11934,192217.2188
28.05.2019 02:00:00.000 GMT+0200,1.11933,1.11983,1.11592,1.11681,306191
29.05.2019 02:00:00.000 GMT+0200,1.11682,1.11724,1.11243,1.11366,354138.3125
30.05.2019 02:00:00.000 GMT+0200,1.11365,1.11433,1.11160,1.11295,300563.125
31.05.2019 02:00:00.000 GMT+0200,1.11295,1.11797,1.11251,1.11678,412709.2813
02.06.2019 02:00:00.000 GMT+0200,1.11607,1.11741,1.11607,1.11736,11255.4199
03.06.2019 02:00:00.000 GMT+0200,1.11736,1.12619,1.11601,1.12457,373774.8125
04.06.2019 02:00:00.000 GMT+0200,1.12458,1.12774,1.12267,1.12536,410688.75
05.06.2019 02:00:00.000 GMT+0200,1.12535,1.13065,1.12200,1.12286,399166.2188
06.06.2019 02:00:00.000 GMT+0200,1.12286,1.13090,1.12008,1.12755,363147.4063
07.06.2019 02:00:00.000 GMT+0200,1.12756,1.13477,1.12512,1.13334,347017.1875
09.06.2019 02:00:00.000 GMT+0200,1.13220,1.13308,1.13143,1.13190,10583.6797
10.06.2019 02:00:00.000 GMT+0200,1.13190,1.13243,1.12902,1.13179,319896.625
