Local time,Open,High,Low,Close,Volume
06.08.2021 02:00:00.000 GMT+0200,81.248,81.308,81.176,81.214,4712.02
06.08.2021 03:00:00.000 GMT+0200,81.217,81.220,81.116,81.170,4776.5298
06.08.2021 04:00:00.000 GMT+0200,81.172,81.175,81.083,81.130,3795.8701
06.08.2021 05:00:00.000 GMT+0200,81.129,81.180,81.100,81.164,2451.47
06.08.2021 06:00:00.000 GMT+0200,81.163,81.163,81.089,81.091,1973.9399
06.08.2021 07:00:00.000 GMT+0200,81.093,81.175,81.079,81.162,3137.9299
06.08.2021 08:00:00.000 GMT+0200,81.162,81.213,81.124,81.162,4335.0601
06.08.2021 09:00:00.000 GMT+0200,81.163,81.169,81.086,81.116,8041.8901
06.08.2021 10:00:00.000 GMT+0200,81.117,81.170,81.079,81.158,5994.9502
06.08.2021 11:00:00.000 GMT+0200,81.158,81.187,81.145,81.146,4624.4102
06.08.2021 12:00:00.000 GMT+0200,81.146,81.189,81.111,81.132,4587.3901
06.08.2021 13:00:00.000 GMT+0200,81.132,81.196,81.114,81.174,3870.75
06.08.2021 14:00:00.000 GMT+0200,81.177,81.354,81.141,81.208,16697.8008
06.08.2021 15:00:00.000 GMT+0200,81.209,81.396,81.186,81.243,10853.1104
06.08.2021 16:00:00.000 GMT+0200,81.243,81.282,81.091,81.141,10076.3604
06.08.2021 17:00:00.000 GMT+0200,81.142,81.146,81.022,81.087,6449.1401
06.08.2021 18:00:00.000 GMT+0200,81.086,81.112,81.061,81.072,2444.1299
06.08.2021 19:00:00.000 GMT+0200,81.072,81.126,81.053,81.085,2915.95
06.08.2021 20:00:00.000 GMT+0200,81.085,81.119,81.018,81.023,2397.6299
06.08.2021 21:00:00.000 GMT+0200,81.023,81.069,81.016,81.034,1623.0699
06.08.2021 22:00:00.000 GMT+0200,81.033,81.069,81.021,81.021,1828.54
07.08.2021 05:00:00.000 GMT+0200,81.021,81.021,81.021,81.021,0
07.08.2021 06:00:00.000 GMT+0200,81.021,81.021,81.021,81.021,0
07.08.2021 07:00:00.000 GMT+0200,81.021,81.021,81.021,81.021,0
07.08.2021 08:00:00.000 GMT+0200,81.021,81.021,81.021,81.021,0
